4138
250
4
ECG	Pao	Dao	Qao
62.25	71.06	19.86	8.11
59.30	70.93	19.87	8.15
58.65	71.24	19.87	8.16
55.88	71.43	19.87	8.17
51.31	71.48	19.88	8.20
50.35	71.54	19.88	8.23
49.29	71.26	19.88	8.28
46.77	71.52	19.89	8.34
46.31	71.80	19.89	8.41
43.33	71.58	19.89	8.48
38.61	71.53	19.89	8.54
39.90	71.58	19.89	8.57
39.32	71.51	19.89	8.56
40.34	71.89	19.90	8.53
41.13	71.48	19.90	8.48
45.05	71.41	19.89	8.42
46.84	71.11	19.89	8.34
50.55	71.12	19.88	8.30
54.85	71.10	19.88	8.22
61.07	70.61	19.88	8.07
67.81	70.29	19.87	7.89
65.39	70.25	19.86	7.77
61.92	69.88	19.86	7.66
57.01	69.70	19.84	7.54
48.96	69.08	19.83	7.41
44.35	68.52	19.82	7.26
39.67	67.86	19.80	7.09
38.98	67.61	19.78	6.83
38.26	67.25	19.76	6.50
35.55	66.29	19.73	6.08
40.16	65.36	19.70	5.47
38.87	64.16	19.65	4.75
38.85	63.28	19.61	3.98
41.09	62.73	19.56	3.19
37.54	62.28	19.52	2.59
39.35	62.11	19.49	2.34
40.60	62.51	19.49	2.40
40.20	63.19	19.50	2.69
42.09	63.35	19.52	3.07
42.11	63.13	19.52	3.36
45.68	62.85	19.52	3.47
43.81	62.58	19.51	3.47
45.21	62.66	19.50	3.39
47.74	62.65	19.49	3.32
44.79	62.44	19.48	3.29
49.03	62.35	19.48	3.30
49.67	62.42	19.47	3.33
48.78	62.88	19.47	3.37
50.65	63.17	19.48	3.39
46.97	63.10	19.49	3.35
43.53	63.05	19.50	3.31
37.78	62.98	19.50	3.24
46.81	63.17	19.50	3.15
49.92	63.10	19.50	3.08
60.46	62.87	19.49	3.05
87.96	62.60	19.48	3.07
107.30	62.47	19.47	3.09
124.40	62.63	19.47	3.05
143.90	62.57	19.46	2.95
154.80	62.22	19.46	2.80
161.70	61.99	19.45	2.54
144.20	61.82	19.44	2.24
112.20	61.93	19.44	1.99
76.19	61.79	19.43	1.74
38.69	61.53	19.43	1.46
14.10	61.29	19.42	1.29
6.72	61.24	19.42	1.14
11.49	61.36	19.42	1.01
21.37	61.28	19.41	0.89
27.53	61.01	19.41	0.78
31.63	60.80	19.41	0.67
36.38	60.77	19.41	0.58
38.96	60.91	19.40	0.50
43.84	60.69	19.40	0.42
45.98	60.43	19.39	0.34
47.47	60.15	19.39	0.27
52.11	60.10	19.38	0.19
53.71	60.23	19.37	0.12
54.74	60.10	19.37	0.05
53.64	59.73	19.36	-0.02
28.91	59.47	19.35	-0.11
-67.60	59.40	19.34	-0.18
-193.60	59.52	19.34	-0.24
-299.60	59.34	19.33	-0.28
-288.70	59.07	19.32	-0.32
-142.00	58.78	19.31	-0.36
5.06	58.73	19.31	-0.39
144.90	58.89	19.30	-0.40
241.20	58.70	19.29	-0.42
235.50	58.45	19.29	-0.42
162.00	58.23	19.28	-0.42
111.80	58.20	19.28	-0.46
108.10	58.40	19.27	-0.48
118.90	58.14	19.26	-0.51
113.60	57.83	19.26	-0.56
95.09	57.50	19.25	-0.61
88.50	57.31	19.25	-0.69
86.63	57.41	19.23	-0.78
87.27	57.17	19.22	-0.82
84.02	56.95	19.22	-0.83
75.51	56.83	19.22	-0.77
69.68	57.00	19.22	-0.67
67.58	57.43	19.22	-0.52
67.45	57.29	19.22	-0.34
65.05	56.97	19.22	-0.21
62.32	56.70	19.22	-0.13
62.26	56.76	19.21	-0.07
59.62	57.06	19.20	-0.02
60.79	56.99	19.20	0.04
61.89	57.16	19.20	0.13
64.53	57.50	19.21	0.39
65.62	58.35	19.22	0.72
65.80	59.56	19.25	1.19
63.74	60.51	19.29	1.76
65.38	61.52	19.34	2.38
65.53	62.54	19.39	3.24
64.17	63.64	19.45	4.26
68.64	64.79	19.50	5.22
66.88	65.32	19.54	6.00
68.77	65.91	19.59	6.60
72.50	66.27	19.62	7.02
70.64	67.06	19.65	7.27
70.53	67.79	19.68	7.43
67.41	68.14	19.71	7.56
69.13	68.54	19.73	7.71
67.32	68.92	19.75	7.91
66.67	69.57	19.77	8.05
67.47	70.07	19.79	8.09
64.85	70.21	19.81	8.08
64.10	70.34	19.83	8.02
63.61	70.34	19.83	7.93
61.60	70.61	19.84	7.88
61.30	70.84	19.85	7.86
59.80	70.71	19.85	7.86
62.53	70.71	19.86	7.85
57.34	70.67	19.86	7.86
54.32	70.95	19.86	7.93
53.51	71.23	19.87	8.05
47.61	71.18	19.87	8.17
47.91	71.17	19.87	8.27
45.63	71.17	19.88	8.34
44.65	71.39	19.88	8.37
43.31	71.58	19.88	8.38
40.96	71.41	19.88	8.35
39.53	71.34	19.89	8.28
38.27	71.24	19.89	8.22
37.44	71.47	19.89	8.14
34.63	71.61	19.89	8.10
33.48	71.38	19.89	8.10
37.76	71.15	19.89	8.13
37.86	71.01	19.89	8.19
41.84	71.08	19.89	8.22
48.97	71.04	19.88	8.21
52.89	70.65	19.87	8.08
57.29	70.29	19.87	7.96
59.31	69.98	19.86	7.86
56.70	69.87	19.85	7.69
50.82	69.66	19.84	7.53
44.90	69.06	19.83	7.39
41.59	68.54	19.82	7.24
37.06	68.04	19.81	7.03
35.65	67.77	19.79	6.79
36.77	67.25	19.76	6.53
33.15	66.32	19.74	6.20
34.23	65.34	19.71	5.76
34.18	64.34	19.66	5.22
34.40	63.62	19.62	4.47
35.39	62.79	19.57	3.58
35.55	62.06	19.52	2.81
39.49	61.82	19.49	2.34
39.84	62.16	19.48	2.24
39.52	62.98	19.49	2.43
41.91	63.19	19.51	2.68
41.58	63.03	19.52	2.88
42.17	62.75	19.52	3.06
43.62	62.56	19.51	3.25
45.34	62.65	19.50	3.43
48.41	62.54	19.49	3.54
46.42	62.24	19.48	3.59
49.55	62.16	19.47	3.60
51.73	62.25	19.47	3.59
50.02	62.71	19.47	3.57
52.34	62.92	19.47	3.52
52.12	62.96	19.48	3.49
48.36	62.94	19.49	3.43
39.34	62.95	19.50	3.33
41.26	63.10	19.50	3.22
48.55	63.00	19.50	3.10
52.25	62.70	19.49	3.00
74.60	62.50	19.48	2.90
99.57	62.37	19.47	2.81
116.90	62.50	19.46	2.71
135.70	62.33	19.46	2.64
148.50	62.09	19.45	2.56
160.70	61.74	19.45	2.46
152.10	61.73	19.44	2.30
122.00	61.81	19.44	2.08
89.34	61.70	19.43	1.84
52.02	61.39	19.43	1.62
23.43	61.15	19.42	1.40
11.72	61.08	19.42	1.21
13.36	61.27	19.41	1.07
20.64	61.15	19.41	1.02
28.16	60.82	19.41	1.00
31.14	60.62	19.40	0.96
34.88	60.60	19.40	0.92
38.74	60.84	19.40	0.87
42.03	60.64	19.39	0.79
47.22	60.30	19.38	0.70
49.31	60.11	19.38	0.61
52.25	60.08	19.37	0.51
55.30	60.20	19.37	0.42
57.45	59.89	19.36	0.32
56.92	59.65	19.36	0.21
44.94	59.34	19.35	0.12
-23.26	59.32	19.34	0.06
-150.00	59.41	19.33	0.01
-269.70	59.25	19.33	-0.06
-307.70	58.97	19.32	-0.16
-191.50	58.62	19.31	-0.26
-41.19	58.63	19.30	-0.36
101.20	58.82	19.30	-0.42
221.80	58.56	19.29	-0.46
250.50	58.35	19.28	-0.47
189.00	58.12	19.28	-0.48
124.70	58.10	19.27	-0.51
108.60	58.26	19.27	-0.53
119.90	58.00	19.26	-0.55
121.50	57.70	19.26	-0.55
105.80	57.45	19.25	-0.57
92.48	57.39	19.24	-0.62
87.90	57.33	19.23	-0.64
88.17	57.10	19.22	-0.66
88.14	56.78	19.22	-0.68
80.50	56.66	19.21	-0.66
75.05	56.91	19.21	-0.58
73.50	57.24	19.21	-0.47
69.51	57.14	19.22	-0.35
67.38	56.88	19.22	-0.25
64.59	56.66	19.22	-0.18
63.48	56.74	19.21	-0.10
60.88	56.86	19.20	-0.05
60.78	56.82	19.20	0.00
62.37	56.85	19.20	0.06
60.33	57.19	19.20	0.24
63.98	58.04	19.21	0.51
64.38	59.09	19.24	0.89
62.17	60.00	19.27	1.38
65.83	61.05	19.31	1.90
63.03	62.05	19.37	2.52
63.36	63.25	19.43	3.34
63.16	64.39	19.48	4.53
62.88	65.01	19.53	5.59
65.73	65.47	19.57	6.31
64.08	66.04	19.61	6.82
66.73	66.78	19.64	7.18
66.07	67.47	19.67	7.49
61.50	67.75	19.69	7.69
62.28	68.18	19.72	7.84
59.86	68.54	19.74	7.95
59.61	69.25	19.76	8.01
58.96	69.84	19.78	8.00
58.30	69.99	19.80	7.92
58.31	70.15	19.82	7.84
57.07	70.13	19.83	7.81
56.34	70.56	19.84	7.79
53.71	70.71	19.84	7.85
51.87	70.58	19.84	7.92
54.17	70.65	19.85	7.97
51.47	70.53	19.85	8.01
49.51	70.91	19.86	8.04
48.70	71.17	19.86	8.06
46.48	71.04	19.87	8.12
46.19	71.06	19.87	8.22
46.70	70.99	19.87	8.36
43.35	71.29	19.87	8.48
40.84	71.43	19.88	8.54
37.77	71.28	19.88	8.55
37.68	71.25	19.88	8.51
35.15	71.17	19.89	8.43
34.08	71.43	19.89	8.37
34.60	71.43	19.89	8.37
31.78	71.25	19.89	8.40
35.64	71.10	19.89	8.39
37.73	70.91	19.88	8.37
41.26	71.10	19.88	8.32
49.09	70.97	19.88	8.26
51.20	70.56	19.87	8.19
55.84	70.17	19.87	8.08
56.25	69.89	19.86	7.92
53.06	69.79	19.85	7.74
49.18	69.50	19.84	7.56
41.84	69.00	19.83	7.41
39.02	68.55	19.82	7.22
35.18	68.09	19.80	7.00
31.18	67.83	19.79	6.70
32.83	67.26	19.77	6.33
28.67	66.47	19.74	5.90
31.04	65.47	19.71	5.43
33.30	64.54	19.67	4.95
30.23	63.75	19.63	4.36
30.38	62.86	19.57	3.70
32.96	62.01	19.53	2.91
34.65	61.64	19.49	2.31
34.99	61.92	19.47	2.14
36.79	62.71	19.47	2.41
38.59	63.04	19.49	2.90
36.94	62.95	19.51	3.34
39.61	62.67	19.51	3.66
41.89	62.52	19.50	3.80
42.53	62.55	19.49	3.85
45.29	62.34	19.48	3.87
44.33	62.14	19.48	3.85
46.34	61.95	19.47	3.78
46.43	62.04	19.46	3.67
46.18	62.56	19.46	3.54
48.42	62.68	19.46	3.43
48.88	62.79	19.47	3.36
48.33	62.71	19.48	3.27
40.93	62.82	19.49	3.18
31.72	63.01	19.49	3.11
42.11	62.87	19.49	3.11
44.56	62.61	19.48	3.08
55.73	62.30	19.48	2.96
83.04	62.29	19.47	2.76
101.60	62.47	19.46	2.55
118.90	62.25	19.45	2.33
137.80	61.99	19.44	2.17
150.80	61.63	19.44	2.06
157.70	61.54	19.43	1.98
138.60	61.71	19.43	1.95
103.90	61.55	19.42	1.91
68.22	61.26	19.42	1.85
30.40	61.03	19.41	1.70
8.88	61.00	19.41	1.50
2.29	61.20	19.41	1.31
9.33	61.00	19.40	1.09
19.03	60.73	19.40	0.90
27.10	60.62	19.40	0.76
29.92	60.58	19.40	0.66
29.67	60.77	19.39	0.54
32.75	60.57	19.39	0.35
38.67	60.26	19.38	0.21
42.27	60.08	19.38	0.14
44.87	60.02	19.37	0.05
46.12	60.17	19.37	-0.06
48.79	59.89	19.36	-0.17
50.19	59.54	19.35	-0.28
200.80	59.33	19.35	-0.37
343.70	59.36	19.34	-0.46
446.80	59.40	19.33	-0.53
565.00	59.18	19.32	-0.62
636.90	58.88	19.32	-0.72
630.50	58.64	19.31	-0.78
593.80	58.67	19.30	-0.79
582.10	58.75	19.29	-0.77
593.50	58.52	19.29	-0.73
598.10	58.27	19.28	-0.69
585.00	58.08	19.28	-0.67
567.80	58.19	19.27	-0.67
559.30	58.26	19.26	-0.67
558.00	58.04	19.26	-0.68
554.10	57.70	19.25	-0.69
545.50	57.49	19.25	-0.71
535.90	57.45	19.24	-0.74
529.10	57.47	19.23	-0.76
524.00	57.10	19.22	-0.77
518.10	56.80	19.21	-0.77
511.10	56.57	19.21	-0.73
503.90	56.78	19.21	-0.70
497.60	57.10	19.21	-0.65
491.80	57.07	19.21	-0.56
485.60	56.93	19.21	-0.44
479.80	56.61	19.21	-0.29
473.50	56.77	19.21	-0.18
467.40	56.86	19.20	-0.11
462.00	56.64	19.20	-0.07
456.30	56.71	19.19	-0.05
450.20	56.89	19.20	0.05
444.80	57.65	19.20	0.27
438.80	58.57	19.22	0.64
433.60	59.32	19.24	1.17
427.80	60.34	19.28	1.82
422.80	61.34	19.33	2.59
416.90	62.71	19.39	3.39
411.60	63.85	19.44	4.27
406.50	64.51	19.50	5.16
401.20	65.13	19.54	5.95
396.50	65.67	19.58	6.48
391.30	66.56	19.62	6.82
386.50	67.23	19.65	7.11
381.70	67.46	19.68	7.44
376.70	67.91	19.70	7.76
372.10	68.32	19.73	7.97
367.10	69.06	19.75	8.05
362.30	69.64	19.77	8.04
357.70	69.72	19.79	8.07
353.00	69.94	19.81	8.13
348.60	70.09	19.82	8.14
344.40	70.51	19.83	8.11
340.20	70.66	19.84	8.06
335.70	70.53	19.84	8.04
331.40	70.48	19.85	8.03
327.60	70.53	19.85	8.03
323.40	70.89	19.85	8.02
319.00	71.03	19.86	8.05
314.90	70.93	19.86	8.12
310.60	70.92	19.87	8.20
306.90	70.95	19.87	8.28
303.40	71.23	19.87	8.32
299.40	71.40	19.87	8.32
295.50	71.21	19.87	8.31
291.60	71.13	19.88	8.30
287.90	71.13	19.88	8.33
284.50	71.40	19.88	8.38
280.90	71.40	19.88	8.41
277.30	71.21	19.88	8.40
273.30	71.00	19.88	8.42
270.10	70.96	19.88	8.42
266.70	71.07	19.88	8.39
263.10	70.91	19.87	8.32
259.90	70.58	19.87	8.22
257.20	70.28	19.87	8.08
253.40	69.99	19.86	7.92
250.20	70.04	19.85	7.74
246.70	69.71	19.84	7.53
243.60	69.17	19.83	7.37
240.80	68.69	19.82	7.27
237.40	68.33	19.81	7.16
234.50	68.09	19.79	6.99
231.50	67.57	19.77	6.71
228.70	66.76	19.75	6.35
225.60	65.85	19.73	5.95
222.50	65.02	19.69	5.45
220.20	64.35	19.65	4.95
217.00	63.33	19.60	4.37
214.50	62.35	19.55	3.76
211.60	61.72	19.50	3.25
208.80	61.74	19.48	2.92
206.30	62.49	19.47	2.81
203.50	62.86	19.48	2.87
200.90	62.95	19.50	3.00
198.70	62.72	19.51	3.15
196.30	62.56	19.50	3.24
193.60	62.60	19.50	3.28
190.70	62.42	19.49	3.29
188.60	62.18	19.48	3.31
186.30	61.95	19.47	3.39
183.80	62.09	19.46	3.51
181.40	62.49	19.46	3.66
179.20	62.62	19.46	3.74
176.90	62.66	19.46	3.71
174.60	62.74	19.47	3.61
172.50	62.85	19.48	3.49
170.50	63.10	19.49	3.41
168.00	62.91	19.49	3.36
165.50	62.63	19.49	3.31
163.70	62.39	19.48	3.22
161.30	62.41	19.47	3.06
159.60	62.57	19.46	2.87
157.20	62.32	19.46	2.68
154.80	62.06	19.45	2.56
153.00	61.74	19.44	2.52
151.30	61.73	19.44	2.51
149.40	61.90	19.43	2.48
147.40	61.62	19.43	2.37
145.50	61.39	19.43	2.19
143.70	61.11	19.42	2.00
142.00	61.15	19.42	1.81
139.90	61.28	19.41	1.65
138.10	61.04	19.41	1.47
136.30	60.80	19.40	1.31
134.30	60.59	19.40	1.18
133.00	60.67	19.40	1.05
131.30	60.82	19.40	0.93
129.40	60.57	19.39	0.79
128.20	60.32	19.39	0.68
126.30	60.07	19.38	0.58
124.30	60.13	19.38	0.48
122.50	60.27	19.37	0.37
121.20	59.88	19.36	0.27
120.20	59.60	19.36	0.12
118.30	59.36	19.35	-0.03
116.90	59.39	19.34	-0.17
115.10	59.46	19.34	-0.25
113.90	59.18	19.33	-0.35
112.20	58.96	19.32	-0.46
110.80	58.65	19.31	-0.54
109.80	58.79	19.31	-0.57
108.20	58.82	19.30	-0.60
106.40	58.50	19.29	-0.64
105.10	58.32	19.28	-0.65
103.80	58.09	19.28	-0.64
102.60	58.20	19.27	-0.65
101.10	58.31	19.27	-0.65
100.10	58.05	19.26	-0.65
98.19	57.80	19.25	-0.64
97.61	57.56	19.25	-0.62
96.03	57.60	19.24	-0.63
94.72	57.54	19.24	-0.66
93.91	57.09	19.23	-0.69
92.39	56.86	19.22	-0.71
91.55	56.61	19.21	-0.73
90.09	56.76	19.21	-0.73
88.43	56.93	19.20	-0.71
87.87	56.88	19.20	-0.64
86.33	56.91	19.21	-0.55
85.77	56.77	19.21	-0.45
83.99	56.86	19.21	-0.34
82.78	56.85	19.20	-0.25
82.27	56.56	19.19	-0.19
81.18	56.53	19.19	-0.13
80.17	56.64	19.19	-0.04
78.72	57.16	19.19	0.10
77.95	57.85	19.20	0.34
76.28	58.39	19.22	0.69
75.78	59.33	19.25	1.19
74.45	60.42	19.29	1.86
73.89	61.87	19.34	2.58
72.47	62.96	19.40	3.45
72.05	63.74	19.45	4.40
70.99	64.50	19.50	5.21
69.94	65.19	19.55	5.84
69.03	66.14	19.59	6.33
68.10	66.74	19.62	6.75
67.30	67.07	19.65	7.19
65.79	67.46	19.68	7.59
65.67	67.97	19.71	7.89
64.42	68.66	19.73	8.04
64.10	69.22	19.75	8.08
62.57	69.48	19.77	8.06
61.82	69.71	19.79	8.01
61.34	69.94	19.81	8.00
60.03	70.42	19.82	7.99
59.87	70.58	19.83	7.97
58.96	70.48	19.84	7.97
57.92	70.40	19.84	8.02
57.86	70.43	19.85	8.06
56.18	70.77	19.85	8.11
56.02	70.86	19.85	8.18
55.68	70.76	19.86	8.24
54.11	70.79	19.86	8.23
53.85	70.84	19.86	8.20
52.93	71.22	19.87	8.19
51.78	71.29	19.87	8.22
51.77	71.16	19.87	8.28
50.14	71.04	19.88	8.35
50.04	71.15	19.88	8.45
50.15	71.46	19.88	8.54
48.99	71.43	19.88	8.56
47.97	71.25	19.88	8.52
47.68	71.10	19.88	8.46
46.33	71.09	19.88	8.40
45.87	71.30	19.88	8.38
45.74	71.10	19.88	8.34
45.73	70.77	19.87	8.28
43.72	70.48	19.87	8.22
43.77	70.29	19.87	8.13
43.76	70.30	19.86	8.02
42.03	70.02	19.85	7.89
41.85	69.50	19.84	7.76
41.99	68.98	19.83	7.66
40.49	68.74	19.82	7.54
40.13	68.60	19.81	7.39
40.20	68.05	19.79	7.17
39.95	67.41	19.77	6.84
38.77	66.59	19.75	6.44
37.81	65.97	19.73	6.01
37.83	65.35	19.69	5.57
37.91	64.28	19.65	5.03
36.20	63.10	19.60	4.40
35.78	62.14	19.55	3.76
35.77	61.76	19.50	3.14
35.55	61.95	19.47	2.72
34.05	62.31	19.46	2.54
33.41	62.73	19.48	2.64
33.98	62.73	19.50	2.90
33.56	62.85	19.51	3.13
33.09	62.88	19.50	3.26
31.81	62.59	19.49	3.30
31.70	62.25	19.49	3.30
31.98	62.05	19.48	3.29
31.60	62.08	19.47	3.31
29.97	62.35	19.46	3.37
29.96	62.36	19.46	3.43
29.78	62.44	19.46	3.46
29.78	62.54	19.46	3.48
29.70	62.85	19.47	3.45
28.37	63.11	19.48	3.41
27.98	62.97	19.49	3.35
27.70	62.76	19.49	3.27
27.71	62.54	19.49	3.18
27.79	62.58	19.48	3.05
26.07	62.72	19.47	2.92
25.60	62.48	19.47	2.78
25.67	62.21	19.46	2.64
65.05	61.98	19.45	2.53
111.70	62.01	19.45	2.42
143.00	62.09	19.44	2.31
168.90	61.78	19.43	2.21
162.60	61.53	19.43	2.11
127.20	61.30	19.43	2.04
84.42	61.29	19.42	1.96
44.61	61.44	19.42	1.86
20.33	61.21	19.41	1.75
19.82	60.96	19.41	1.63
22.21	60.71	19.41	1.50
29.32	60.80	19.41	1.38
35.19	60.89	19.40	1.26
36.46	60.63	19.40	1.14
43.35	60.56	19.39	1.00
45.88	60.23	19.39	0.86
48.16	60.32	19.38	0.70
49.95	60.37	19.38	0.55
49.74	60.05	19.37	0.43
51.83	59.76	19.37	0.30
51.92	59.58	19.36	0.17
53.64	59.61	19.35	0.05
52.00	59.67	19.34	-0.11
19.61	59.34	19.34	-0.23
-80.96	59.10	19.33	-0.29
-207.10	58.84	19.32	-0.34
-312.20	58.94	19.31	-0.39
-294.10	58.94	19.31	-0.45
-150.00	58.64	19.30	-0.51
-2.14	58.42	19.29	-0.56
140.20	58.23	19.29	-0.56
234.50	58.39	19.28	-0.53
221.60	58.44	19.28	-0.51
147.10	58.16	19.27	-0.49
96.59	57.93	19.26	-0.48
91.56	57.74	19.26	-0.49
99.90	57.87	19.25	-0.51
95.89	57.76	19.24	-0.52
77.65	57.39	19.24	-0.53
70.10	57.08	19.23	-0.56
71.43	56.80	19.22	-0.58
71.05	56.93	19.21	-0.57
65.52	56.91	19.21	-0.53
53.47	56.74	19.20	-0.47
51.54	56.81	19.20	-0.40
48.68	56.86	19.21	-0.29
46.85	57.07	19.22	-0.20
45.86	57.06	19.21	-0.13
40.82	56.67	19.21	-0.07
39.18	56.52	19.20	-0.04
